Flow Duration,Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,urg_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Covariance,src_ip,dst_ip
0.07862305641174316,0.0,47,64.0,396.42877151968014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6067.0,576,578,577.9,0.447213595499958,577.9,178209031.33876115,9.5,0.0,1.0,10.45.0.2,10.45.0.3
0.10786199569702148,0.0,47,64.0,198.43480626066548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5794.9,525,599,551.2,12.967976752471126,551.2,89104515.68047741,9.5,0.11039421551683413,1369.0,10.45.0.2,10.45.0.4
0.08820199966430664,0.0,47,64.0,280.33541011061766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6076.3,575,600,577.7,5.44928773713641,577.7,89104515.6840857,9.5,0.020196467346202333,156.25,10.45.0.2,10.45.0.5
0.10004091262817383,0.0,47,64.0,242.94541906939298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6039.65,566,597,574.5,5.7077970679081655,574.5,89104515.69027564,9.5,0.03605138104051163,240.25,10.45.0.2,10.45.0.6
0.11292600631713867,0.0,47,64.0,189.3378899513556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6034.95,566,597,574.05,5.844250435932286,574.05,89104515.69682755,9.5,0.03609882587657362,240.25,10.45.0.2,10.45.0.7
0.08989191055297852,0.0,47,64.0,220.460338146072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5793.55,523,599,550.25,13.356941818277196,550.25,89104515.70054616,9.5,0.11403279867021487,1444.0,10.45.0.2,10.45.0.8
0.12264704704284668,0.0,47,64.0,214.65123540028497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5845.4,536,603,554.5,12.804193392051396,554.5,89104515.7085084,9.5,0.09106889804241616,1122.25,10.45.0.2,10.45.0.9
0.09016895294189453,0.0,47,64.0,228.22664520561153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5660.7,488,586,539.0,17.929687231252146,539.0,89104515.71173325,9.5,0.17693119225030635,2401.0,10.45.0.2,10.45.0.10
0.08543205261230469,0.0,47,64.0,233.44410041136067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5382.45,420,563,516.6,26.378619731657086,516.6,89104515.71598014,9.5,0.2989824460806971,5112.25,10.45.0.2,10.45.0.11
0.13233399391174316,0.0,47,64.0,153.13767658514166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5416.6,432,567,516.8,23.97937710441599,516.8,89104515.72545,9.5,0.27712818941920536,4556.25,10.45.0.2,10.45.0.12
